chercheur_id,article_id,raw_pub_id
fsbm_abdessamad_belangour,art_00251,fsbm_abdessamad_belangour::oa:W3196367753
fsbm_asmaa_benbiyi,art_00252,fsbm_asmaa_benbiyi::oa:W4399011899
fsbm_mostafa_oukassou,art_00253,fsbm_mostafa_oukassou::oa:W4321113127
fsbm_omar_tanane,art_00254,fsbm_omar_tanane::oa:W2085672923
fsbm_mohamed_talea,art_00255,fsbm_mohamed_talea::oa:W2996654070
fsbm_wadi_badri,art_00256,fsbm_wadi_badri::oa:W2891298801
fsbm_nadia_barhoun,art_00257,fsbm_nadia_barhoun::oa:W7125943767
fsbm_elhabib_benlahmar,art_00258,fsbm_elhabib_benlahmar::oa:W4210588936
fsbm_abdelhafid_bassou,art_00259,fsbm_abdelhafid_bassou::oa:W2947279140
fsbm_abdelhafid_bassou,art_00260,fsbm_abdelhafid_bassou::oa:W3146803498
fsbm_abdelhafid_bassou,art_00261,fsbm_abdelhafid_bassou::oa:W2760297931
fsbm_abdelhafid_bassou,art_00262,fsbm_abdelhafid_bassou::oa:W2805849233
fsbm_faouzia_benabbou,art_00263,fsbm_faouzia_benabbou::oa:W3108368497
fsbm_nawal_sael,art_00263,fsbm_nawal_sael::oa:W3108368497
fsbm_imane_agmour,art_00264,fsbm_imane_agmour::oa:W3206441349
fsbm_bouazza_braikat,art_00265,fsbm_bouazza_braikat::oa:W2913138209
fsbm_bouazza_braikat,art_00266,fsbm_bouazza_braikat::oa:W3080123167
fsbm_abdelmjid_abourriche,art_00267,fsbm_abdelmjid_abourriche::oa:W2520169210
fsbm_abdelmjid_abourriche,art_00268,fsbm_abdelmjid_abourriche::oa:W2894556279
fsbm_soumia_belouafa,art_00268,fsbm_soumia_belouafa::oa:W2894556279
fsbm_imane_agmour,art_00269,fsbm_imane_agmour::oa:W3137890874
fsbm_imane_agmour,art_00270,fsbm_imane_agmour::oa:W2990586701
fsbm_wadi_badri,art_00271,fsbm_wadi_badri::oa:W1993444656
fsbm_soumia_mordane,art_00272,fsbm_soumia_mordane::oa:W2953060618
fsbm_soumia_belouafa,art_00273,fsbm_soumia_belouafa::oa:W2597835475
fsbm_nadia_barhoun,art_00274,fsbm_nadia_barhoun::oa:W4415692387
fsbm_rachid_essamoud,art_00274,fsbm_rachid_essamoud::oa:W4415692387
